Car Name,Car Image,Car Link,Car Brand,Car Model,Car Color,Car KM,Seller Place,Date,Car Price
Mercedes C 180 2012,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579648/medium_up_d3bf64236b7cf1276a25224d021f7b36.jpg,https://eg.hatla2ee.com/en/car/en/car/mercedes/c-180/6579648,Mercedes,C 180,"
White ",83500.0,Alexandria,2024-07-19,1750000.0
Mercedes C 180 2010,https://media.hatla2eestatic.com/uploads/car/2024/07/18/6577614/medium_up_c61d991dd9aaacd2eb4a3491dd9f29a9.jpg,https://eg.hatla2ee.com/en/car/en/car/mercedes/c-180/6577614,Mercedes,C 180,"
Petroleum ",91000.0,6 October,2024-07-19,1100000.0
Chevrolet Captiva 2023,https://media.hatla2eestatic.com/uploads/car/2024/05/06/6449149/medium_up_2cce2f11719aaa45e3eb9e09a80f4fb5.jpg,https://eg.hatla2ee.com/en/car/en/car/chevrolet/captiva/6449149,Chevrolet,Captiva,"
Silver ",18000.0,Nasr city,2024-07-19,1200000.0
BMW 218 i 2020,https://media.hatla2eestatic.com/uploads/car/2024/07/19/6579530/medium_up_4d7f54ec0970431129092c650a402b6f.jpg,https://eg.hatla2ee.com/en/car/en/car/bmw/218-i/6579530,BMW,218 i,"
Dark blue ",116000.0,Tagamo3 - New Cairo,2024-07-19,1450000.0
Renault Megane 2019,https://media.hatla2eestatic.com/uploads/car/2024/03/26/6368077/medium_up_f0a741e4ae8b0700d4d8b45a147f139f.jpg,https://eg.hatla2ee.com/en/car/en/car/renault/megane/6368077,Renault,Megane,"
White ",141500.0,"
150,000 Km ",2024-07-19,780000.0
MG 5 2022,https://media.hatla2eestatic.com/uploads/car/2024/07/16/6574730/medium_up_70522dae0267dcba9e912c49cf7ac635.jpg,https://eg.hatla2ee.com/en/car/en/car/moris-garage/mg-5/6574730,MG,5,"
Red ",141500.0,"
4,000 Km ",2024-07-19,670000.0
Mercedes C 180 2013,https://media.hatla2eestatic.com/uploads/car/2024/07/01/6546590/medium_up_fa749ef1b799ec3ca7dc7e1aff9ece17.jpg,https://eg.hatla2ee.com/en/car/en/car/mercedes/c-180/6546590,Mercedes,C 180,"
Petroleum ",195000.0,Pyramids Gardens,2024-07-19,1400000.0
Nissan Sunny 2020,https://media.hatla2eestatic.com/uploads/car/2024/07/02/6548597/medium_up_e5121020eadd7328ff2aa81a4c936c2b.jpg,https://eg.hatla2ee.com/en/car/en/car/nissan/sunny/6548597,Nissan,Sunny,"
Black ",141500.0,"
32,000 Km ",2024-07-19,670000.0
Hyundai Accent RB 2019,https://media.hatla2eestatic.com/uploads/car/2024/07/02/6548604/medium_up_9a13246bcf0d249cca55f7fdb79cfb2f.jpg,https://eg.hatla2ee.com/en/car/en/car/hyundai/Accent-RB/6548604,Hyundai,Accent RB,"
Black ",141500.0,"
150,000 Km ",2024-07-19,770000.0
Nissan Sunny 2012,https://media.hatla2eestatic.com/uploads/car/2024/06/29/6543122/medium_up_29be273f4eb9ea9048167affd62e2ebd.jpg,https://eg.hatla2ee.com/en/car/en/car/nissan/sunny/6543122,Nissan,Sunny,"
Bronze ",150000.0,El Haram,2024-07-19,565000.0
